1;1;1;2;90100;010010020;33;01001;01001;3;0001;383,93;9;14,45;448,78;
1;1;1;3;90100;010010021;23;01001;01001;2;0001;408,65;9;14,27;476,67;
1;1;2;1;90100;010010020;23;01001;01001;1;0001;311,04;9;14,45;363,58;
1;1;3;1;90100;010010003;22;01001;01001;2;0001;229,86;9;14,45;268,68;
1;1;3;2;90100;010010003;32;01001;01001;2;0001;286,9;9;14,45;335,36;
1;1;3;3;90100;010010004;22;01001;01001;3;0001;256,5;9;14,35;299,48;
1;1;3;4;90100;010010004;32;01001;01001;3;0001;335,7;9;13,56;388,36;
1;1;3;5;90106;0101902;08814;01019;01002;5;0001;126,87;9;13,56;146,77;
1;1;3;6;90106;0101902;08817;01019;01002;5;0001;146,33;9;13,56;169,28;
1;1;3;7;90106;0102102;07817;01021;01002;3;0001;121,24;9;13,56;140,26;
1;1;3;8;90106;0102102;13817;01021;01002;5;0001;188,77;9;14,43;220,6;
1;1;4;1;90106;0104601;16012;01046;01002;5;0001;112,01;9;11,8;127;
1;1;4;2;90100;010010019;23;01001;01001;3;0001;333,84;9;13,56;386,21;
1;1;4;3;90100;010010019;33;01001;01001;3;0001;400,12;9;13,56;462,89;
1;1;5;1;90100;010010019;23;01001;01001;2;0001;330,4;9;14,45;386,21;
1;1;5;2;90100;010010019;33;01001;01001;2;0001;396;9;14,45;462,89;
1;1;6;1;90100;010010020;23;01001;01001;2;0001;320,68;9;11,8;363,58;
1;1;6;2;90100;010010020;33;01001;01001;2;0001;383,71;9;14,5;448,78;
