1;1;1;2;3;1;1;10030047; ;010010020;33;
1;1;1;2;2;1;1;10030041; ;010010020;33;
1;1;1;2;1;1;1;10030038; ;010010020;33;
1;1;1;3;2;1;1;10020077; ;010010021;23;
1;1;1;3;1;1;1;10020066; ;010010021;23;
1;1;2;1;1;1;1;10030060; ;010010020;23;
1;1;3;1;2;1;1;10020026; ;010010003;22;
1;1;3;1;1;1;1;10020014; ;010010003;22;
1;1;3;2;2;1;1;10020026; ;010010003;32;
1;1;3;2;1;1;1;10020016; ;010010003;32;
1;1;3;3;3;1;1;10020064; ;010010004;22;
1;1;3;3;2;1;1;10020066; ;010010004;22;
1;1;3;3;1;1;1;10020077; ;010010004;22;
1;1;3;4;3;1;1;10020064; ;010010004;32;
1;1;3;4;2;1;1;10020066; ;010010004;32;
1;1;3;4;1;1;1;10020077; ;010010004;32;
1;1;3;5;1;5;1;10060005; ;0101902;08814;
1;1;3;6;2;1;1;10060015; ;0101902;08817;
1;1;3;6;1;4;1;10060010; ;0101902;08817;
1;1;3;7;1;3;1;10060007; ;0102102;07817;
1;1;3;8;1;5;1;10060007; ;0102102;13817;
1;1;4;1;1;5;1;10060041; ;0104601;16012;
1;1;4;2;3;1;2;10030005;10030006;010010019;23;
1;1;4;2;2;1;2;10030002;10030003;010010019;23;
1;1;4;2;1;1;1;10030001; ;010010019;23;
1;1;4;3;3;1;2;10030005;10030006;010010019;33;
1;1;4;3;2;1;2;10030002;10030003;010010019;33;
1;1;4;3;1;1;1;10030001; ;010010019;33;
1;1;5;1;2;1;1;10030023; ;010010019;23;
1;1;5;1;1;1;1;10030021; ;010010019;23;
1;1;5;2;2;1;1;10030025; ;010010019;33;
1;1;5;2;1;1;1;10030023; ;010010019;33;
1;1;6;1;2;1;1;10030026; ;010010020;23;
1;1;6;1;1;1;1;10030023; ;010010020;23;
1;1;6;2;2;1;1;10030026; ;010010020;33;
1;1;6;2;1;1;1;10030023; ;010010020;33;
