1;1;12895;5;443;7;90106;0102401;13012;01024;10;0;0;10;PC;0001;34,09;5,54;340,9;340,9;18,89;408,66;408,66;1;12;12/05/2011;20,48;42,87;
1;1;12895;2;443;7;90106;0101902;13817;01019;3;0;0;3;PC;0001;202,75;5,54;608,25;608,25;33,7;729,16;729,16;1;12;12/05/2011;20,48;254,97;
1;1;12894;3;442;7;90106;0102301;07812;01023;10;0;0;10;PC;0001;64,17;5,54;641,7;641,7;35,55;769,26;769,26;1;12;12/05/2011;20,48;80,7;
1;1;12894;2;442;7;90106;0100801;07898;01008;2;0;0;2;PC;0001;130,13;5,54;260,26;260,26;14,42;312;312;1;12;12/05/2011;20,48;163,64;
1;1;12894;1;442;7;90106;0101001;13820;01010;1;0;0;1;PC;0001;328,76;5,54;328,76;328,76;18,21;394,11;394,11;1;12;12/05/2011;15,4;388,6;
1;1;12894;4;442;7;90106;0102401;13012;01024;10;0;0;10;PC;0001;34,09;5,54;340,9;340,9;18,89;408,66;408,66;1;12;12/05/2011;20,48;42,87;
1;1;12893;1;441;7;90100;010010022;23;01001;3;0;0;3;PC;0001;484,83;5,54;1454,49;1454,49;80,58;1527,21;1527,21;1;12;12/05/2011;15,4;573,08;
1;1;12893;2;441;7;90100;010010023;33;01001;3;0;0;3;PC;0001;481,01;5,54;1443,03;1443,03;79,94;1515,18;1515,18;1;12;12/05/2011;15,4;568,57;
1;1;12892;2;440;7;90106;0101902;08817;01019;4;0;0;4;PC;0001;134,61;5,54;538,44;538,44;29,83;645,48;645,48;1;12;12/05/2011;20,48;169,28;
1;1;12892;1;440;7;90106;0101902;07817;01019;4;0;0;4;PC;0001;121,53;5,54;486,12;486,12;26,93;582,76;582,76;1;12;12/05/2011;20,48;152,83;
1;1;12891;3;439;7;90106;0102301;07812;01023;6;0;0;6;PC;0001;64,17;4,61;385,02;385,02;17,75;461,56;461,56;1;12;12/05/2011;20,48;80,7;
1;1;12891;2;439;7;90106;0101801;08814;01018;6;0;0;6;PC;0001;96,03;4,61;576,18;576,18;26,56;690,72;690,72;1;12;12/05/2011;20,48;120,76;
1;1;12891;1;439;7;90106;0101001;13825;01010;1;0;0;1;PC;0001;398,97;4,61;398,97;398,97;18,39;478,28;478,28;1;12;12/05/2011;15,4;471,6;
1;1;12890;1;438;7;90100;010010022;23;01001;2;2;0;0;PC;0001;484,83;1,84;0;0;0;0;0;4;12;12/05/2011;15,4;573,08;
1;1;12890;2;438;7;90100;010010023;33;01001;2;2;0;0;PC;0001;481,01;1,84;0;0;0;0;0;4;12;12/05/2011;15,4;568,57;
1;1;12889;5;437;7;90106;0102401;13070;01024;10;0;0;10;PC;0001;41,32;5,54;413,2;413,2;22,89;495,34;495,34;1;12;12/05/2011;22,86;53,56;
1;1;12889;4;437;7;90106;0102401;13010;01024;10;0;0;10;PC;0001;30,28;5,54;302,8;302,8;16,78;362,99;362,99;1;12;12/05/2011;22,86;39,25;
1;1;12889;3;437;7;90106;0102402;14812;01024;10;0;0;10;PC;0001;47,93;5,54;479,3;479,3;26,55;574,57;574,57;1;12;12/05/2011;22,86;62,14;
